antecedents,consequents,support,confidence,leverage,lift
frozenset({'ankle swelling'}),frozenset({'ankle pain'}),0.0041311493112501435,0.48897587474037385,0.003994345428163595,30.19760271451191
frozenset({'ankle swelling'}),frozenset({'leg swelling'}),0.003186269547200119,0.37713692283112316,0.0029816510350060203,15.57175601090122
frozenset({'ankle swelling'}),frozenset({'foot or toe swelling'}),0.0028089925556972874,0.33248122703307237,0.002663823746948519,19.349835408228618
frozenset({'ankle swelling'}),frozenset({'knee pain'}),0.0039698448372444605,0.46988336795015173,0.003695193593637016,14.454130209286467
frozenset({'ankle swelling'}),frozenset({'knee swelling'}),0.0037498228350442407,0.44384086914842624,0.0036199298516868053,28.86855577660881
frozenset({'ankle swelling'}),frozenset({'wrist swelling'}),0.002105057131480019,0.2491612078606806,0.0019849431852805295,17.5255013933508
frozenset({'ankle swelling'}),frozenset({'foot or toe pain'}),0.0030830076872717946,0.36491452308675504,0.0028406700317541913,12.721950621692995
frozenset({'ankle swelling'}),frozenset({'leg pain'}),0.002146901806745092,0.25411407573094746,0.0015936477902296453,3.880499269154698
frozenset({'ankle swelling'}),frozenset({'problems with movement'}),0.0026908825851910344,0.31850135804441604,0.002387703922982306,8.875567184007334
frozenset({'knee stiffness or tightness'}),frozenset({'knee pain'}),0.002118555413823591,0.42010171306209854,0.0019546159592593775,12.922791645581404
frozenset({'knee stiffness or tightness'}),frozenset({'knee swelling'}),0.002499881890029494,0.49571734475374735,0.002422348708079761,32.24273565413893
frozenset({'knee stiffness or tightness'}),frozenset({'problems with movement'}),0.0022326158996267727,0.44271948608137046,0.002051648415681764,12.33711079447403
