antecedents,consequents,support,confidence,leverage,lift
frozenset({'diminished vision'}),frozenset({'pain in eye'}),0.014968920204903926,0.421950801894869,0.013607477716516212,10.994897201005426
frozenset({'diminished vision'}),frozenset({'lacrimation'}),0.013087934560327199,0.3689287141144912,0.012036193781117761,12.444068746830382
frozenset({'symptoms of eye'}),frozenset({'lacrimation'}),0.012148454109214602,0.3572350010915514,0.01114025323327476,12.049636534871922
frozenset({'diminished vision'}),frozenset({'itchiness of eye'}),0.010505038233884737,0.2961208454616365,0.009512604074979482,10.585123596987767
frozenset({'symptoms of eye'}),frozenset({'itchiness of eye'}),0.010760155770178245,0.31641097902236687,0.009808806342543613,11.31041387908493
frozenset({'eye redness'}),frozenset({'pain in eye'}),0.0120256197398881,0.48892791482589254,0.01108170389405903,12.740139698921602
frozenset({'eye redness'}),frozenset({'diminished vision'}),0.010405825858659486,0.42307164613231624,0.009533273915282303,11.925737989172402
frozenset({'diminished vision'}),frozenset({'eye redness'}),0.010405825858659486,0.29332420143446913,0.009533273915282303,11.925737989172402
frozenset({'eye redness'}),frozenset({'lacrimation'}),0.010271517949340947,0.41761106385314056,0.009542324615308842,14.086138023978027
frozenset({'symptoms of eye'}),frozenset({'eye redness'}),0.01059952621028974,0.31168753845237857,0.009763096121235725,12.672339683855219
frozenset({'eye redness'}),frozenset({'symptoms of eye'}),0.01059952621028974,0.4309469582635897,0.009763096121235725,12.67233968385522
frozenset({'symptoms of eye'}),frozenset({'pain in eye'}),0.014916951817881175,0.4386448885625261,0.013611870246007582,11.429899968985227
frozenset({'symptoms of eye'}),frozenset({'diminished vision'}),0.014787368307382885,0.4348343818842162,0.01358095624550691,12.257311390262858
frozenset({'diminished vision'}),frozenset({'symptoms of eye'}),0.014787368307382885,0.4168331335730457,0.01358095624550691,12.257311390262858
frozenset({'irregular appearing scalp'}),frozenset({'skin swelling'}),0.014596367612221346,0.44829301660344506,0.012590038804702964,7.275162255321209
