antecedents,consequents,support,confidence,leverage,lift
frozenset({'ear pain'}),frozenset({'cough'}),0.01412527755843069,0.3305483606039547,0.009911807592981272,3.352409694208905
frozenset({'ear pain'}),frozenset({'nasal congestion'}),0.01270930774059001,0.2974129761829553,0.009915853841747943,4.5496751336609575
frozenset({'ear pain'}),frozenset({'fever'}),0.01192505753642849,0.2790605850022111,0.008401810670053876,3.3846783914688494
frozenset({'ear pain'}),frozenset({'sore throat'}),0.01249940945014747,0.2925011055657338,0.010070505942927728,5.146111985508636
frozenset({'coryza'}),frozenset({'cough'}),0.01630659998515189,0.5114954695571174,0.01316320072922971,5.187568825191448
frozenset({'coryza'}),frozenset({'nasal congestion'}),0.015716725046737802,0.49299263273774235,0.013632708552238719,7.541555015626447
frozenset({'sore throat'}),frozenset({'coryza'}),0.014487706439355591,0.2548891553961789,0.012675657572291475,7.995207360400042
frozenset({'coryza'}),frozenset({'sore throat'}),0.014487706439355591,0.45444152764840373,0.012675657572291475,7.995207360400042
frozenset({'coryza'}),frozenset({'fever'}),0.015031012303684357,0.471483614192565,0.012402544160086038,5.71854459803618
frozenset({'nasal congestion'}),frozenset({'fever'}),0.023936504079855838,0.3661686816647222,0.01854685341120264,4.441197686349727
frozenset({'nasal congestion'}),frozenset({'cough'}),0.031112865887815776,0.4759490795709138,0.02466735353006206,4.827058604641125
frozenset({'facial pain'}),frozenset({'headache'}),0.010625172946742527,0.3226289040085253,0.007330928485702621,3.225374762681832
frozenset({'sore throat'}),frozenset({'cough'}),0.02600714059135975,0.45755607537670545,0.020402778343582673,4.640517411535139
frozenset({'sore throat'}),frozenset({'nasal congestion'}),0.02154798301916081,0.3791039813814313,0.017832392852397554,5.799343321529939
frozenset({'nasal congestion'}),frozenset({'sore throat'}),0.02154798301916081,0.329630279690678,0.017832392852397554,5.799343321529939
frozenset({'sore throat'}),frozenset({'fever'}),0.02115653283119723,0.3722170108172934,0.016470240561542313,4.514556842344604
frozenset({'pain in eye'}),frozenset({'diminished vision'}),0.014968920204903926,0.39004959375329745,0.013607477716516212,10.994897201005427
frozenset({'lacrimation'}),frozenset({'pain in eye'}),0.013677134584624107,0.461333576160448,0.012539374483651805,12.02110583148062
frozenset({'pain in eye'}),frozenset({'lacrimation'}),0.013677134584624107,0.35638915268544896,0.012539374483651805,12.02110583148062
