antecedents,consequents,support,confidence,leverage,lift
frozenset({'hostile behavior'}),frozenset({'depressive or psychotic symptoms'}),0.015724824016143946,0.48451764510158674,0.013742812841595458,7.933771624534933
frozenset({'hostile behavior'}),frozenset({'depression'}),0.013122355180303306,0.404329652504835,0.011736506927507202,9.46882543152
frozenset({'hostile behavior'}),frozenset({'anxiety and nervousness'}),0.01144654342734887,0.3526940753218126,0.010165221370040967,8.933385140811836
frozenset({'anxiety and nervousness'}),frozenset({'hostile behavior'}),0.01144654342734887,0.28992939808879087,0.010165221370040967,8.933385140811836
frozenset({'delusions or hallucinations'}),frozenset({'depressive or psychotic symptoms'}),0.013785795757489859,0.47387713437268003,0.012009169857189611,7.759537759277333
frozenset({'hostile behavior'}),frozenset({'delusions or hallucinations'}),0.011760378491836913,0.36236404849543535,0.010816225698391099,12.456011964881025
frozenset({'delusions or hallucinations'}),frozenset({'hostile behavior'}),0.011760378491836913,0.4042548255382331,0.010816225698391099,12.456011964881025
frozenset({'delusions or hallucinations'}),frozenset({'anxiety and nervousness'}),0.011368253389756153,0.3907757980697847,0.010219707920955856,9.897956762330681
frozenset({'anxiety and nervousness'}),frozenset({'delusions or hallucinations'}),0.011368253389756153,0.28794639041318354,0.010219707920955856,9.897956762330681
frozenset({'delusions or hallucinations'}),frozenset({'depression'}),0.012323931779681035,0.42362657757980693,0.01108169160897953,9.920731973046397
frozenset({'delusions or hallucinations'}),frozenset({'insomnia'}),0.01039367740455027,0.357275426874536,0.009252278807395414,9.106089170302475
frozenset({'excessive anger'}),frozenset({'depressive or psychotic symptoms'}),0.012350253430251,0.4453720154793487,0.010656762608850753,7.2927784870066805
frozenset({'excessive anger'}),frozenset({'delusions or hallucinations'}),0.010669042364359135,0.38474456640786625,0.009862329410248706,13.22532669147975
frozenset({'delusions or hallucinations'}),frozenset({'excessive anger'}),0.010669042364359135,0.36674090571640683,0.009862329410248706,13.22532669147975
frozenset({'excessive anger'}),frozenset({'depression'}),0.012238217686799354,0.44133180811448874,0.01105410665548874,10.335363292117696
frozenset({'excessive anger'}),frozenset({'anxiety and nervousness'}),0.011270390842765259,0.406430257745759,0.010175590182116646,10.294468434178825
frozenset({'anxiety and nervousness'}),frozenset({'excessive anger'}),0.011270390842765259,0.28546763081867443,0.010175590182116646,10.294468434178825
frozenset({'hostile behavior'}),frozenset({'temper problems'}),0.010337659532824449,0.318526836775012,0.009451004908522919,11.659172861099139
frozenset({'anxiety and nervousness'}),frozenset({'depression'}),0.017614583544243993,0.4461596321178863,0.015928723223495898,10.448424064235386
frozenset({'anxiety and nervousness'}),frozenset({'depressive or psychotic symptoms'}),0.017178589024546626,0.43511633075200434,0.014767506867673398,7.124845984852046
frozenset({'anxiety and nervousness'}),frozenset({'insomnia'}),0.014638887201603596,0.3707882455510539,0.013089880294175803,9.45049833632584
frozenset({'delusions or hallucinations'}),frozenset({'disturbance of memory'}),0.002699656468714356,0.09279881217520415,0.0020753850841902705,4.324491776557155
frozenset({'excessive anger'}),frozenset({'disturbance of memory'}),0.0021577004326199492,0.07781049967142893,0.0015626410790578415,3.6260255715730807
frozenset({'hostile behavior'}),frozenset({'disturbance of memory'}),0.002878508709766682,0.08869340986129308,0.0021820689810266654,4.1331770589458126
frozenset({'hostile behavior'}),frozenset({'seizures'}),0.0021826722549555568,0.06725310374945412,0.0016813539322106986,4.353864911629033
frozenset({'sleepiness'}),frozenset({'nausea'}),0.002528903197068173,0.2213623205529627,0.0014343730878510908,2.3104921242204095
frozenset({'sleepiness'}),frozenset({'abnormal involuntary movements'}),0.003139700473114796,0.2748271991492881,0.0026761588181112967,6.773286584333167
frozenset({'sleepiness'}),frozenset({'sweating'}),0.0025086557735528154,0.21959000413540497,0.0023358502449855,14.51721941046339
frozenset({'sleepiness'}),frozenset({'dizziness'}),0.0024445389324208493,0.21397766881313876,0.0016433356446961095,3.0510844998687667
frozenset({'sleepiness'}),frozenset({'insomnia'}),0.0024479135030067425,0.21427305488273174,0.001999684706281607,5.461303514838339
frozenset({'sleepiness'}),frozenset({'fatigue'}),0.002036215891527803,0.17823595439239084,0.0017502833455082458,7.1213155685625535
frozenset({'sleepiness'}),frozenset({'shortness of breath'}),0.0027630983957291433,0.241862113782714,0.001774740521402831,2.7956456537694256
frozenset({'vomiting blood'}),frozenset({'nausea'}),0.0049795163565436295,0.37170638319310795,0.0036960444986922757,3.8797238335087334
frozenset({'vomiting blood'}),frozenset({'vomiting'}),0.003959721125486782,0.29558164139251347,0.0024474928203422923,2.618467801466288
frozenset({'vomiting blood'}),frozenset({'dizziness'}),0.0037599465468019194,0.2806690513375989,0.0028204366479392525,4.002029729919356
frozenset({'vomiting blood'}),frozenset({'diarrhea'}),0.003354998076494766,0.2504408282533125,0.002786773245735835,5.904349642752805
frozenset({'vomiting blood'}),frozenset({'blood in stool'}),0.0028474626603764673,0.2125547886543403,0.002443881713464341,7.055493283721495
frozenset({'vomiting blood'}),frozenset({'sharp abdominal pain'}),0.005622709510214825,0.41971887752531617,0.0038672223530715286,3.2029340045783408
frozenset({'vomiting blood'}),frozenset({'weakness'}),0.002980420741460649,0.22247972190034762,0.002353942174094087,4.75741852429049
frozenset({'vomiting blood'}),frozenset({'burning abdominal pain'}),0.003487956157578948,0.2603657614993199,0.0027814159981495935,4.936670776642105
frozenset({'vomiting blood'}),frozenset({'upper abdominal pain'}),0.0023702983795312045,0.1769358657866895,0.0020247812998384182,6.8601482208599815
frozenset({'vomiting blood'}),frozenset({'regurgitation.1'}),0.0021684990584948066,0.16187213461635347,0.0019428528526098695,9.610172925312035
frozenset({'vomiting blood'}),"frozenset({'sharp abdominal pain', 'nausea'})",0.0025673733017473528,0.19164693435437555,0.0020649969831277016,5.110458448363106
frozenset({'vomiting blood'}),"frozenset({'vomiting', 'nausea'})",0.002022042695067053,0.15093959393420325,0.0014961496964976191,3.844969795314896
