antecedents,consequents,support,confidence,leverage,lift
frozenset({'side pain'}),frozenset({'sharp abdominal pain'}),0.01713471960693002,0.4029265660461204,0.011562071600257545,3.074789505171251
frozenset({'side pain'}),frozenset({'back pain'}),0.015716050132620625,0.36956625244012764,0.01196477841935123,4.18952593517237
"frozenset({'side pain', 'sharp abdominal pain'})",frozenset({'back pain'}),0.006073552140490122,0.35445879943280284,0.004562065110756538,4.01826282396922
"frozenset({'side pain', 'back pain'})",frozenset({'sharp abdominal pain'}),0.006073552140490122,0.3864553809155715,0.004014089500496228,2.9490955662629204
"frozenset({'lower abdominal pain', 'side pain'})",frozenset({'back pain'}),0.003244987075394656,0.36234833069560635,0.0024550106535601306,4.107701173990704
"frozenset({'lower abdominal pain', 'side pain'})",frozenset({'sharp abdominal pain'}),0.0040832304089304635,0.4559499585500038,0.0029096922413585757,3.4794184984872563
"frozenset({'lower abdominal pain', 'side pain'})",frozenset({'nausea'}),0.0033995424082285527,0.3796066018539453,0.002541545124646024,3.9621831831843553
"frozenset({'lower abdominal pain', 'side pain'})",frozenset({'vomiting'}),0.0033806448129475525,0.3774964202275982,0.0023697244955027327,3.3441258965814407
"frozenset({'nausea', 'side pain'})",frozenset({'back pain'}),0.004295153441724541,0.3457756044553111,0.0031994027413051844,3.9198272381489105
"frozenset({'nausea', 'back pain'})",frozenset({'side pain'}),0.004295153441724541,0.31337403978727596,0.0037122900668989855,7.3690570161661535
"frozenset({'nausea', 'side pain'})",frozenset({'sharp abdominal pain'}),0.005840031855946331,0.4701439826134203,0.0042122550849642984,3.5877350998337794
"frozenset({'side pain', 'sharp abdominal pain'})",frozenset({'nausea'}),0.005840031855946331,0.34083031353395304,0.004198398346594214,3.5574516618213674
"frozenset({'side pain', 'burning abdominal pain'})",frozenset({'nausea'}),0.0034710833046494834,0.5065497882399291,0.0028145721568453223,5.287165825377449
"frozenset({'side pain', 'burning abdominal pain'})",frozenset({'back pain'}),0.0024283409936085632,0.35437801634984734,0.0018238771597939626,4.017347040076803
"frozenset({'side pain', 'burning abdominal pain'})",frozenset({'sharp abdominal pain'}),0.003310453744760979,0.4831084408549197,0.0024125011473265547,3.6866687108199327
"frozenset({'side pain', 'burning abdominal pain'})",frozenset({'vomiting'}),0.002860960942720039,0.41751206539938934,0.0020874381465019924,3.698612318483721
"frozenset({'side pain', 'sharp abdominal pain'})",frozenset({'vomiting'}),0.0059372194888200475,0.34650228454387894,0.004002993471841444,3.0695582815571885
"frozenset({'side pain', 'vomiting'})",frozenset({'sharp abdominal pain'}),0.0059372194888200475,0.48462979286029084,0.0043318185680449395,3.6982783627366316
"frozenset({'nausea', 'side pain'})",frozenset({'vomiting'}),0.005130022204674455,0.41298560173865795,0.003727807384976519,3.6585137545326765
"frozenset({'side pain', 'vomiting'})",frozenset({'nausea'}),0.005130022204674455,0.4187417364477743,0.003956281403439241,4.370660199658862
"frozenset({'side pain', 'vomiting'})",frozenset({'back pain'}),0.004439585062800759,0.3623843102688409,0.0033588968414472046,4.1081090503977284
"frozenset({'vomiting', 'back pain'})",frozenset({'side pain'}),0.004439585062800759,0.3154159673939103,0.0038410221475955707,7.417073376954643
"frozenset({'nausea', 'side pain', 'sharp abdominal pain'})",frozenset({'vomiting'}),0.0024276660794913846,0.4156939789668323,0.001768423219679038,3.6825064441083515
"frozenset({'nausea', 'side pain', 'vomiting'})",frozenset({'sharp abdominal pain'}),0.0024276660794913846,0.4732272069464544,0.0017554177102311601,3.611263619966693
"frozenset({'side pain', 'sharp abdominal pain', 'vomiting'})",frozenset({'nausea'}),0.0024276660794913846,0.40888939411162895,0.0018588363181170908,4.267825357144005
"frozenset({'side pain', 'sharp chest pain'})",frozenset({'sharp abdominal pain'}),0.002966247544999899,0.38897247544030444,0.0019669403059167155,2.968303869910208
"frozenset({'side pain', 'sharp chest pain'})",frozenset({'vomiting'}),0.002375022778351455,0.31144349057438714,0.0015141901107194541,2.7589830958491905
"frozenset({'side pain', 'sharp chest pain'})",frozenset({'back pain'}),0.003095831055498188,0.4059651296574918,0.0024231395497096354,4.602155711583047
"frozenset({'side pain', 'sharp chest pain'})",frozenset({'nausea'}),0.0024593870429987785,0.32250641649703515,0.001728773484539287,3.3661940906002754
"frozenset({'low back pain', 'side pain'})",frozenset({'back pain'}),0.0026186667746529255,0.4962906114095677,0.002153218310872511,5.626115410036757
frozenset({'pelvic pain'}),frozenset({'sharp abdominal pain'}),0.015882079005446557,0.41571564851782494,0.01087572573741021,3.1723847989009415
frozenset({'pelvic pain'}),frozenset({'lower abdominal pain'}),0.014264309866569479,0.37337031410097865,0.011949631157294069,6.162544205124173
"frozenset({'lower abdominal pain', 'pelvic pain'})",frozenset({'sharp abdominal pain'}),0.007519893093603839,0.5271823988644428,0.005650669401416647,4.023003306150458
