antecedents,consequents,fitness,support,confidence,lift,cooccurrence_score,combined_score
frozenset({'nausea'}),frozenset({'vomiting'}),0.015777315279219193,0.03925637962569263,0.4097425240393082,3.6297843162177847,58165,0.05838511002771192
frozenset({'nasal congestion'}),frozenset({'cough'}),0.014582447400368804,0.031112865887815776,0.4759490795709138,4.827058604641125,46099,0.0714797590367129
frozenset({'nausea'}),frozenset({'sharp abdominal pain'}),0.014410068702007357,0.03750092800691112,0.39141981613891724,2.98697987226348,55564,0.04384470170689921
"frozenset({'sharp abdominal pain', 'vomiting'})",frozenset({'nausea'}),0.014330647501504472,0.01601976148535099,0.4544079640088064,4.742930140065008,165964,0.034526194105905864
frozenset({'lower abdominal pain'}),frozenset({'sharp abdominal pain'}),0.013755306514505948,0.029076649996287972,0.4799153392001782,3.6623017013340893,43082,0.05110496776630384
"frozenset({'nausea', 'sharp abdominal pain'})",frozenset({'vomiting'}),0.0134720569476835,0.01601976148535099,0.4271830681736376,3.7842847887121156,165964,0.02589726425931497
frozenset({'vomiting'}),frozenset({'nausea'}),0.013390663357138524,0.03925637962569263,0.3477603195102119,3.629784316217785,58165,0.04955312989658875
"frozenset({'nasal congestion', 'fever'})",frozenset({'cough'}),0.01296431336150951,0.012533830070123576,0.523628263689167,5.310619190928573,130307,0.034853953156806707
frozenset({'fever'}),frozenset({'cough'}),0.012914429600182738,0.032896663899518785,0.3989980435654587,4.046623939611297,48742,0.05311479019858378
"frozenset({'nausea', 'vomiting'})",frozenset({'sharp abdominal pain'}),0.012869618709551896,0.01601976148535099,0.40808046075818794,3.1141196032755514,165964,0.020358094921097795
frozenset({'burning abdominal pain'}),frozenset({'sharp abdominal pain'}),0.01221515214187827,0.02554279967874088,0.4843048179666006,3.695798433447361,37846,0.04571887802742306
frozenset({'shortness of breath'}),frozenset({'sharp chest pain'}),0.012175118227498583,0.03271781165846646,0.3781799742559582,3.886350645756553,48477,0.04808667608687798
frozenset({'sore throat'}),frozenset({'cough'}),0.011747617880846696,0.02600714059135975,0.45755607537670545,4.640517411535139,38534,0.0552208818937664
"frozenset({'sore throat', 'fever'})",frozenset({'cough'}),0.011547194537844556,0.011113135853462647,0.5252815261428526,5.327386519820117,118623,0.031098751788154633
frozenset({'skin swelling'}),frozenset({'abnormal appearing skin'}),0.011284451675710917,0.02654302240039955,0.43075575027382257,6.490312624019592,39328,0.0742073757460753
"frozenset({'nausea', 'burning abdominal pain'})",frozenset({'sharp abdominal pain'}),0.011035496927515808,0.0109538561218085,0.5092243975903615,3.885963263362421,125282,0.021675789554305745
frozenset({'sharp chest pain'}),frozenset({'shortness of breath'}),0.01082436333491865,0.03271781165846646,0.33622321942558314,3.8863506457565533,48477,0.04275175351950989
frozenset({'vomiting'}),frozenset({'sharp abdominal pain'}),0.010820436844977101,0.035254138910823594,0.31230568709044815,2.3832487852416517,52235,0.026239731365950644
frozenset({'skin lesion'}),frozenset({'abnormal appearing skin'}),0.010807971332179603,0.023367551479074287,0.467903670468674,7.05003031842867,34623,0.07708336139833492
frozenset({'cough'}),frozenset({'fever'}),0.010798872186811985,0.032896663899518785,0.33363679300171806,4.046623939611297,48742,0.04441387257054885
"frozenset({'skin swelling', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.010583132370534775,0.010707512469038314,0.4994648029215464,7.525570380881739,105715,0.04024694309015008
frozenset({'abnormal appearing skin'}),frozenset({'skin swelling'}),0.010476935822654817,0.02654302240039955,0.39993085003610035,6.490312624019593,39328,0.06889709270789914
frozenset({'low back pain'}),frozenset({'back pain'}),0.010194839649995714,0.021479141779208597,0.4797184245037006,5.438247588269395,31825,0.05603537714841166
frozenset({'regurgitation'}),frozenset({'regurgitation.1'}),0.009996638244648009,0.010046771548320477,1.0,59.36891453299676,14886,0.5964659213847819
"frozenset({'burning abdominal pain', 'vomiting'})",frozenset({'sharp abdominal pain'}),0.009975267288346868,0.009908414154298866,0.5083448753462604,3.879251504958739,118961,0.019539369157252535
"frozenset({'cough', 'nasal congestion'})",frozenset({'fever'}),0.009974019776552557,0.012533830070123576,0.4028503872101347,4.886103856530647,130307,0.02467120043747044
frozenset({'cough'}),frozenset({'nasal congestion'}),0.009667897215181572,0.031112865887815776,0.3155455771323746,4.827058604641125,46099,0.047389779257177966
frozenset({'chest tightness'}),frozenset({'sharp chest pain'}),0.009514824411783841,0.01908049700675589,0.5034099610035792,5.1732713528146785,28271,0.04969088671897476
"frozenset({'cough', 'fever'})",frozenset({'nasal congestion'}),0.009433185705947568,0.012533830070123576,0.381006113823807,5.8284411934018205,130307,0.027833522089662756
"frozenset({'sore throat', 'cough'})",frozenset({'fever'}),0.009393520194576562,0.011113135853462647,0.4273109461774018,5.182781817623226,118623,0.024611810807126273
"frozenset({'chest tightness', 'shortness of breath'})",frozenset({'sharp chest pain'}),0.009328590881449517,0.00932258870058785,0.5049718505520217,5.189322045258487,104102,0.02442948529512993
"frozenset({'sharp abdominal pain', 'burning abdominal pain'})",frozenset({'nausea'}),0.00929354114236072,0.0109538561218085,0.42884320667970194,4.4760953403621855,125282,0.021026398708786583
"frozenset({'sore throat', 'nasal congestion'})",frozenset({'cough'}),0.009115237905367344,0.009959032713087259,0.46217934663450994,4.687406463882283,116560,0.021575472118509405
frozenset({'skin lesion'}),frozenset({'skin swelling'}),0.009105347024847088,0.021437972018060702,0.42926644683496407,6.966387911083912,31764,0.06410889584955969
"frozenset({'burning abdominal pain', 'vomiting'})",frozenset({'nausea'}),0.009072819352395917,0.00944744781226589,0.48469529085872576,5.059057247766181,118917,0.02316609834580526
frozenset({'chest tightness'}),frozenset({'shortness of breath'}),0.008910302460395612,0.018461600761303123,0.48708132267312454,5.630095435231021,27354,0.050627512347720484
"frozenset({'sharp abdominal pain', 'regurgitation'})",frozenset({'regurgitation.1'}),0.008799842838700734,0.004419337639285401,1.0,59.36891453299676,33154,0.2623712785991907
"frozenset({'nausea', 'diarrhea'})",frozenset({'sharp abdominal pain'}),0.008759586555529154,0.009080969446637915,0.48667124823669833,3.7138569968988047,111850,0.016413193182152338
frozenset({'diarrhea'}),frozenset({'sharp abdominal pain'}),0.008724004205067248,0.01932886540187761,0.4556939869842634,3.477465143334519,28639,0.030629678992725274
frozenset({'burning abdominal pain'}),frozenset({'nausea'}),0.008680330463031231,0.021510862742715988,0.4078571885597287,4.257051604897983,31872,0.03734864627574804
frozenset({'nasal congestion'}),frozenset({'fever'}),0.008661543290747328,0.023936504079855838,0.3661686816647222,4.441197686349727,35466,0.03892620123216226
"frozenset({'skin dryness, peeling, scaliness, or roughness'})",frozenset({'abnormal appearing skin'}),0.008423584389218326,0.016429434354478394,0.5169133416856009,7.788472202480289,24343,0.0661443308486786
"frozenset({'low back pain', 'neck pain'})",frozenset({'back pain'}),0.008384302365391763,0.00818873298372782,0.51612217117577,5.850932566437924,80503,0.024728303269770865
"frozenset({'itching of skin', 'skin swelling'})",frozenset({'abnormal appearing skin'}),0.008355559562889133,0.008301443641296645,0.5074257425742573,7.64551999755941,93453,0.03220573005066809
"frozenset({'coryza', 'nasal congestion'})",frozenset({'cough'}),0.008304822059118012,0.008111117860252284,0.5160819341263366,5.234084585414559,93547,0.021909885366911033
"frozenset({'leg pain', 'low back pain'})",frozenset({'back pain'}),0.00828588140239336,0.00871516599512712,0.4795024136650575,5.435798817569152,87916,0.022715894125585754
frozenset({'coryza'}),frozenset({'cough'}),0.008273477721023756,0.01630659998515189,0.5114954695571174,5.187568825191448,24161,0.043268225138334594
"frozenset({'skin rash', 'skin swelling'})",frozenset({'abnormal appearing skin'}),0.008268555911608336,0.008570059459933723,0.4865320510364382,7.330709133481389,94479,0.030566187895047787
"frozenset({'nausea', 'burning abdominal pain'})",frozenset({'vomiting'}),0.008221103881061563,0.00944744781226589,0.4391942771084338,3.8906884330801472,118917,0.016143497389636885
"frozenset({'itching of skin', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.0081934973621552,0.007761512347553774,0.5319148936170213,8.014504616019726,86128,0.03308759390253395
frozenset({'diarrhea'}),frozenset({'nausea'}),0.008132785408030271,0.018659350597636452,0.43990962177987813,4.59160219296673,27647,0.03768983538144729
frozenset({'abnormal appearing skin'}),frozenset({'skin lesion'}),0.008132713492337185,0.023367551479074287,0.3520851764849446,7.05003031842867,34623,0.058003197270927426
frozenset({'sore throat'}),frozenset({'nasal congestion'}),0.008082158445517441,0.02154798301916081,0.3791039813814313,5.799343321529939,31927,0.047374407331230974
