support,itemsets
0.13104199990551202,frozenset({'sharp abdominal pain'})
0.042525663609305715,frozenset({'side pain'})
0.03820418851701121,frozenset({'pelvic pain'})
0.035055039246255915,frozenset({'painful urination'})
0.03358575121315813,frozenset({'retention of urine'})
0.08821195002935876,frozenset({'back pain'})
0.06058704029912194,frozenset({'lower abdominal pain'})
0.026720524813217517,frozenset({'blood in urine'})
0.033714659809539235,frozenset({'suprapubic pain'})
0.02920285893620037,frozenset({'frequent urination'})
0.011793449283578665,frozenset({'symptoms of bladder'})
0.02547193369643713,frozenset({'involuntary urination'})
0.0986002281209716,frozenset({'cough'})
0.042732862243279546,frozenset({'ear pain'})
0.03292905977714336,frozenset({'difficulty breathing'})
0.03188024323904783,frozenset({'coryza'})
0.009655996274474074,frozenset({'painful sinuses'})
0.009477818947538926,frozenset({'sinus congestion'})
0.1000283463929215,frozenset({'headache'})
0.08244818346865361,frozenset({'fever'})
0.0653701566475666,frozenset({'nasal congestion'})
0.03293310926184643,frozenset({'facial pain'})
0.00604115626286555,frozenset({'nosebleed'})
0.05683924220642923,frozenset({'sore throat'})
0.0958074335040866,frozenset({'nausea'})
0.05274116368692084,frozenset({'burning abdominal pain'})
0.02714437087880567,frozenset({'vaginal discharge'})
0.021026949320698943,frozenset({'pain during pregnancy'})
0.011890636916452382,frozenset({'vaginal pain'})
0.021971154170631786,frozenset({'cramps and spasms'})
0.06548489204748696,frozenset({'leg pain'})
0.029437054134861338,frozenset({'ache all over'})
0.028683849980090034,frozenset({'foot or toe pain'})
0.02770927399488415,frozenset({'hand or finger pain'})
0.04720146861311898,frozenset({'arm pain'})
0.04477447744774477,frozenset({'low back pain'})
0.04223275088245021,frozenset({'loss of sensation'})
0.04142217902771872,frozenset({'neck pain'})
0.040575161810659593,frozenset({'abnormal involuntary movements'})
0.035885183610385576,frozenset({'problems with movement'})
0.026477555731033227,frozenset({'paresthesia'})
0.03912072188813973,frozenset({'hip pain'})
0.0325085882821411,frozenset({'knee pain'})
0.03156235868985672,frozenset({'shoulder pain'})
0.030376534585973936,frozenset({'lower body pain'})
0.02590185398907989,frozenset({'intermenstrual bleeding'})
0.017080726477555732,frozenset({'problems during pregnancy'})
0.011086139288775504,frozenset({'blood clots during menstrual periods'})
0.010876240998332962,frozenset({'spotting or bleeding during pregnancy'})
0.014089507110220225,frozenset({'heavy menstrual flow'})
0.11288343558282209,frozenset({'vomiting'})
0.09730979232892614,frozenset({'sharp chest pain'})
0.08651386611053744,frozenset({'shortness of breath'})
0.03790250190663238,frozenset({'chest tightness'})
0.022546855912585123,frozenset({'difficulty in swallowing'})
0.028206685699244772,frozenset({'heartburn'})
0.02579184298797978,frozenset({'upper abdominal pain'})
0.07013167574426155,frozenset({'dizziness'})
0.021458894355693238,frozenset({'disturbance of memory'})
0.009660045759177146,frozenset({'leg weakness'})
0.006039806434631193,frozenset({'arm weakness'})
0.06107027880702181,frozenset({'depressive or psychotic symptoms'})
0.01754034299135435,frozenset({'feeling ill'})
0.015446759399866367,frozenset({'seizures'})
0.015126175194206537,frozenset({'sweating'})
0.046764799179304435,frozenset({'weakness'})
0.0282404314051037,frozenset({'decreased appetite'})
0.02817901422044045,frozenset({'fainting'})
0.011424271261481976,frozenset({'sleepiness'})
0.03837696653100893,frozenset({'pain in eye'})
0.035475510741258175,frozenset({'diminished vision'})
0.02964695242530388,frozenset({'lacrimation'})
0.027975190157052514,frozenset({'itchiness of eye'})
